PlayerID,nameFirst,nameLast,FullName,DebutYear,FinalYear,Years,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,BAvg,OBP,Slg,TB,PrimaryPosition,GG,InductionYear,votedBy
sullibi03,Billy,Sullivan,Billy Sullivan,1899,1916,16,1147,3647,363,777,119,33,21,378,98,0,170,0,0,32,132,0,0,0.21305,0.25435,0.28105,1025,Catcher,0,0,
lanieha01,Hal,Lanier,Hal Lanier,1964,1973,10,1196,3703,297,843,111,20,8,273,11,11,136,436,25,4,78,19,135,0.22765,0.25453,0.27491,1018,Shortstop,0,0,
bushodo01,Doc,Bushong,Doc Bushong,1875,1890,13,672,2397,287,514,58,13,2,184,39,0,124,97,0,6,0,0,0,0.21443,0.25485,0.25198,604,Catcher,0,0,
kuehnbi01,Bill,Kuehne,Bill Kuehne,1883,1892,10,1087,4284,536,996,145,115,25,404,151,0,137,260,0,10,0,0,0,0.23249,0.25796,0.33754,1446,ThirdBase,0,0,
gerhajo01,Joe,Gerhardt,Joe Gerhardt,1873,1891,15,1071,4139,493,939,122,55,7,380,37,5,162,194,0,13,0,0,0,0.22687,0.25823,0.28799,1192,SecondBase,0,0,
tayloha04,Hawk,Taylor,Hawk Taylor,1957,1970,11,394,724,56,158,25,0,16,82,0,3,36,146,4,4,0,2,22,0.21823,0.25849,0.31906,231,Catcher,0,0,
berrera01,Ray,Berres,Ray Berres,1934,1945,11,561,1330,96,287,37,3,3,78,4,0,76,134,0,3,30,0,46,0.21579,0.25976,0.25489,339,Catcher,0,0,
smithha03,Harry,Smith,Harry Smith,1901,1910,10,343,1004,83,214,22,7,2,89,23,0,55,14,0,12,32,0,0,0.21315,0.26237,0.25498,256,Catcher,0,0,
webbsk01,Skeeter,Webb,Skeeter Webb,1932,1948,12,699,2274,216,498,73,15,3,166,33,26,132,215,0,3,44,0,40,0.219,0.26276,0.26825,610,Shortstop,0,0,
winebo01,Bobby,Wine,Bobby Wine,1960,1972,12,1164,3172,249,682,104,16,30,268,7,7,214,538,53,3,63,15,103,0.21501,0.2641,0.28625,908,Shortstop,1,0,
klimclo01,Lou,Klimchock,Lou Klimchock,1958,1970,12,318,669,64,155,21,3,13,69,0,1,31,71,5,1,4,6,11,0.23169,0.2645,0.33034,221,ThirdBase,0,0,
murreiv01,Ivan,Murrell,Ivan Murrell,1963,1974,10,564,1306,126,308,41,15,33,123,20,13,44,342,9,9,8,5,27,0.23583,0.26466,0.366,478,Outfield,0,0,
gilliba01,Barney,Gilligan,Barney Gilligan,1875,1888,11,523,1873,217,388,68,23,3,167,8,0,147,235,0,0,0,0,0,0.20715,0.26485,0.27282,511,Catcher,0,0,
eganto01,Tom,Egan,Tom Egan,1965,1975,10,373,979,74,196,25,3,22,91,2,1,80,336,4,9,11,5,23,0.2002,0.26561,0.29928,293,Catcher,0,0,
flynndo01,Doug,Flynn,Doug Flynn,1975,1985,11,1309,3853,288,918,115,39,7,284,20,20,151,320,58,1,60,20,95,0.23826,0.26584,0.2938,1132,SecondBase,1,0,
chavera01,Raul,Chavez,Raul Chavez,1996,2009,11,263,680,48,157,27,1,7,65,4,2,31,115,6,3,7,4,29,0.23088,0.26602,0.30441,207,Catcher,0,0,
remseja01,Jack,Remsen,Jack Remsen,1872,1884,10,578,2352,366,574,69,39,8,199,14,7,71,131,0,0,0,0,0,0.24405,0.2662,0.31675,745,Outfield,0,0,
kellemi02,Mick,Kelleher,Mick Kelleher,1972,1982,11,622,1081,108,230,32,6,0,65,9,10,74,133,7,7,35,5,37,0.21277,0.2665,0.25347,274,Shortstop,0,0,
boccajo01,John,Boccabella,John Boccabella,1963,1974,12,551,1462,117,320,56,5,26,148,3,7,96,246,20,5,16,16,43,0.21888,0.26662,0.31737,464,Catcher,0,0,
hankifr01,Frank,Hankinson,Frank Hankinson,1878,1888,10,849,3272,410,747,122,39,13,344,31,0,170,211,0,1,0,0,0,0.2283,0.26663,0.30134,986,ThirdBase,0,0,
plummbi01,Bill,Plummer,Bill Plummer,1968,1978,10,367,892,72,168,37,1,14,82,4,3,95,191,10,4,6,10,22,0.18834,0.26673,0.27915,249,Catcher,0,0,
melvibo01,Bob,Melvin,Bob Melvin,1985,1994,10,692,1955,174,456,85,6,35,212,4,13,98,396,10,1,21,20,50,0.23325,0.2676,0.33657,658,Catcher,0,0,
parenma01,Mark,Parent,Mark Parent,1986,1998,13,474,1303,112,279,50,0,53,168,3,3,98,319,8,2,12,13,28,0.21412,0.26766,0.37452,488,Catcher,0,0,
torboje01,Jeff,Torborg,Jeff Torborg,1964,1973,10,574,1391,78,297,42,3,8,101,3,6,103,189,29,4,17,10,36,0.21352,0.2679,0.26528,369,Catcher,0,0,
lakest01,Steve,Lake,Steve Lake,1983,1993,11,476,1125,89,267,41,5,18,108,1,0,43,159,17,6,18,5,33,0.23733,0.26802,0.33067,372,Catcher,0,0,
billijo01,Josh,Billings,Josh Billings,1913,1923,11,243,488,44,106,12,5,0,29,5,0,23,73,0,11,22,0,0,0.21721,0.2682,0.2623,128,Catcher,0,0,
castrju01,Juan,Castro,Juan Castro,1995,2011,17,1103,2627,253,601,123,13,36,234,5,9,149,472,8,1,51,21,73,0.22878,0.26841,0.32661,858,Shortstop,0,0,
tannele01,Lee,Tannehill,Lee Tannehill,1903,1912,10,1090,3778,331,833,135,27,3,346,63,0,229,0,0,23,154,0,0,0.22049,0.26923,0.2729,1031,ThirdBase,0,0,
lillibo01,Bob,Lillis,Bob Lillis,1958,1967,10,817,2328,198,549,68,9,3,137,23,25,99,116,13,13,40,11,61,0.23582,0.26969,0.27663,644,Shortstop,0,0,
milleco01,Corky,Miller,Corky Miller,2001,2013,10,199,504,41,95,23,0,11,59,1,0,44,117,2,15,5,7,19,0.18849,0.27018,0.2996,151,Catcher,0,0,
olearch01,Charley,O'Leary,Charley O'Leary,1904,1934,11,955,3232,317,731,104,18,3,213,74,0,164,34,0,32,153,0,0,0.22618,0.27042,0.27228,880,Shortstop,0,0,
bellira01,Rafael,Belliard,Rafael Belliard,1982,1998,17,1154,2301,217,508,55,14,2,142,43,17,136,384,26,23,58,6,53,0.22077,0.27048,0.25945,597,Shortstop,0,0,
stephjo02,John,Stephenson,John Stephenson,1964,1973,10,451,989,83,214,37,3,12,93,0,1,63,118,15,12,8,4,38,0.21638,0.2706,0.29626,293,Catcher,0,0,
cassijo01,John,Cassidy,John Cassidy,1875,1885,11,634,2642,353,650,87,33,5,191,0,1,84,132,0,5,0,0,0,0.24603,0.2706,0.30961,818,Outfield,0,0,
batemjo01,John,Bateman,John Bateman,1963,1972,10,1017,3330,250,765,123,18,81,375,10,10,172,610,69,27,25,31,123,0.22973,0.27079,0.35045,1167,Catcher,0,0,
dooinre01,Red,Dooin,Red Dooin,1902,1916,15,1290,4004,333,961,139,31,10,344,133,2,155,87,0,20,92,0,0,0.24001,0.27184,0.2977,1192,Catcher,0,0,
burdoja01,Jack,Burdock,Jack Burdock,1872,1891,18,1187,4915,777,1230,164,50,18,503,59,13,140,328,0,10,0,0,0,0.25025,0.27246,0.31495,1548,SecondBase,0,0,
killebi01,Bill,Killefer,Bill Killefer,1909,1921,13,1035,3150,237,751,86,21,4,240,39,8,113,126,0,35,102,0,0,0.23841,0.27259,0.28286,891,Catcher,0,0,
koscoan01,Andy,Kosco,Andy Kosco,1965,1974,10,658,1963,204,464,75,8,73,267,5,8,99,350,18,6,15,19,58,0.23637,0.27264,0.39429,774,Outfield,0,0,
fulmech01,Chick,Fulmer,Chick Fulmer,1871,1884,11,583,2440,360,636,70,30,8,261,14,8,42,66,0,0,0,0,0,0.26066,0.27317,0.32377,790,Shortstop,0,0,
paquecr01,Craig,Paquette,Craig Paquette,1993,2003,11,814,2591,304,620,128,10,99,377,27,13,120,620,6,12,17,26,70,0.23929,0.27355,0.41104,1065,ThirdBase,0,0,
demaejo01,Joe,DeMaestri,Joe DeMaestri,1951,1961,11,1121,3441,322,813,114,23,49,281,15,19,168,511,13,17,30,22,91,0.23627,0.27357,0.32549,1120,Shortstop,0,0,
needhto01,Tom,Needham,Tom Needham,1904,1914,11,523,1491,113,311,50,10,8,117,20,0,109,49,0,26,25,0,0,0.20858,0.27429,0.27163,405,Catcher,0,0,
rodriau01,Aurelio,Rodriguez,Aurelio Rodriguez,1967,1983,17,2017,6611,612,1570,287,46,124,648,35,31,324,943,37,27,82,34,167,0.23748,0.27459,0.35108,2321,ThirdBase,1,0,
mcdonjo03,John,McDonald,John McDonald,1999,2014,13,884,2092,248,498,93,14,21,179,33,17,93,312,0,19,49,17,40,0.23805,0.27465,0.326,682,Shortstop,0,0,
milleot01,Otto,Miller,Otto Miller,1910,1922,13,927,2836,229,695,97,33,5,231,40,6,104,301,0,13,96,0,0,0.24506,0.27497,0.30783,873,Catcher,0,0,
forceda01,Davy,Force,Davy Force,1871,1886,15,1029,4251,653,1060,141,27,1,373,33,5,156,267,0,0,0,0,0,0.24935,0.27592,0.29593,1258,Shortstop,0,0,
lakerti01,Tim,Laker,Tim Laker,1992,2006,11,282,651,66,147,28,2,11,79,5,5,44,162,6,3,13,5,19,0.22581,0.27596,0.32565,212,Catcher,0,0,
cuthbne01,Ned,Cuthbert,Ned Cuthbert,1871,1884,10,452,2113,453,537,74,17,8,179,69,9,65,35,0,0,0,0,0,0.25414,0.2764,0.31661,669,Outfield,0,0,
lemasjo01,Johnnie,LeMaster,Johnnie LeMaster,1975,1987,12,1039,3191,320,709,109,19,22,229,94,51,241,564,37,7,57,19,52,0.22219,0.27675,0.28894,922,Shortstop,0,0,
kittrma01,Malachi,Kittridge,Malachi Kittridge,1890,1906,16,1215,4027,375,882,108,31,17,390,64,0,314,166,0,8,97,0,0,0.21902,0.27685,0.2739,1103,Catcher,0,0,
benjami01,Mike,Benjamin,Mike Benjamin,1989,2002,13,817,1926,227,442,109,15,24,169,44,14,106,429,19,25,57,10,38,0.22949,0.27721,0.33904,653,Shortstop,0,0,
footeba01,Barry,Foote,Barry Foote,1973,1982,10,687,2127,191,489,103,10,57,230,10,6,136,287,29,10,10,17,73,0.2299,0.27729,0.36812,783,Catcher,0,0,
hornujo01,Joe,Hornung,Joe Hornung,1879,1890,12,1123,4784,788,1230,172,90,31,564,159,0,120,498,0,14,0,0,0,0.25711,0.27735,0.35013,1675,Outfield,0,0,
weisal01,Al,Weis,Al Weis,1962,1971,10,800,1578,195,346,45,11,7,115,55,22,117,299,11,14,45,9,24,0.21926,0.27765,0.27503,434,SecondBase,0,0,
bergmo01,Moe,Berg,Moe Berg,1923,1939,15,663,1813,150,441,71,6,6,206,11,5,78,117,0,9,61,0,1,0.24324,0.27789,0.29895,542,Catcher,0,0,
knorrra01,Randy,Knorr,Randy Knorr,1991,2001,11,253,676,82,153,27,3,24,88,0,1,47,161,3,3,8,4,20,0.22633,0.27808,0.38166,258,Catcher,0,0,
duncada01,Dave,Duncan,Dave Duncan,1964,1976,11,929,2885,274,617,79,4,109,341,5,13,252,677,20,14,21,18,68,0.21386,0.27864,0.35737,1031,Catcher,0,0,
olivomi01,Miguel,Olivo,Miguel Olivo,2002,2014,10,996,3353,399,815,161,25,129,450,50,28,145,940,19,29,16,22,66,0.24307,0.27867,0.42141,1413,Catcher,0,0,
smithch04,Charley,Smith,Charley Smith,1960,1969,10,771,2484,228,594,83,18,69,281,7,12,130,565,19,14,38,20,60,0.23913,0.2787,0.37037,920,ThirdBase,0,0,
garcika01,Karim,Garcia,Karim Garcia,1995,2004,10,488,1463,180,352,44,13,66,212,10,13,81,330,6,2,0,14,31,0.2406,0.27885,0.42379,620,Outfield,0,0,
doolami01,Mickey,Doolin,Mickey Doolin,1905,1918,13,1728,5977,513,1376,244,81,15,554,173,0,370,376,0,34,217,0,0,0.23022,0.27895,0.30567,1827,Shortstop,0,0,
espinal01,Alvaro,Espinoza,Alvaro Espinoza,1984,1997,12,942,2478,252,630,105,9,22,201,13,19,76,324,1,16,73,16,66,0.25424,0.2792,0.33051,819,Shortstop,0,0,
duffyfr01,Frank,Duffy,Frank Duffy,1970,1979,10,915,2665,248,619,104,14,26,240,49,30,171,342,7,8,68,12,69,0.23227,0.27941,0.31107,829,Shortstop,0,0,
heisebo01,Bob,Heise,Bob Heise,1967,1977,11,499,1144,104,283,43,3,1,86,3,7,47,77,3,6,30,5,27,0.24738,0.27953,0.29283,335,Shortstop,0,0,
brinked01,Ed,Brinkman,Ed Brinkman,1961,1975,15,1846,6045,550,1355,201,38,60,461,30,35,444,845,44,40,71,40,162,0.22415,0.27995,0.29975,1812,Shortstop,1,0,
walbema01,Matt,Walbeck,Matt Walbeck,1993,2003,11,682,2109,215,492,79,5,28,208,13,12,133,343,4,10,14,14,56,0.23329,0.28023,0.31532,665,Catcher,0,0,
mcbrige01,George,McBride,George McBride,1901,1920,16,1659,5526,516,1203,140,47,7,447,133,19,419,271,0,64,226,0,0,0.2177,0.28058,0.26384,1458,Shortstop,0,0,
kennejo03,John,Kennedy,John Kennedy,1962,1974,12,856,2110,237,475,77,17,32,185,14,10,142,461,10,25,36,11,48,0.22512,0.28059,0.32322,682,ThirdBase,0,0,
shelbjo01,John,Shelby,John Shelby,1981,1991,11,1036,3090,389,739,128,24,70,313,98,40,182,671,15,4,32,18,51,0.23916,0.28081,0.36408,1125,Outfield,0,0,
carpehi01,Hick,Carpenter,Hick Carpenter,1879,1892,12,1118,4637,720,1202,142,47,18,543,158,0,112,91,0,28,0,0,0,0.25922,0.28093,0.32176,1492,ThirdBase,0,0,
waltero01,Roxy,Walters,Roxy Walters,1915,1925,11,498,1426,119,317,41,6,0,116,13,5,97,151,0,20,58,0,0,0.2223,0.28127,0.25947,370,Catcher,0,0,
scottev01,Everett,Scott,Everett Scott,1914,1926,13,1654,5837,552,1455,208,58,20,551,69,60,243,282,0,18,275,0,0,0.24927,0.2814,0.31506,1839,Shortstop,0,0,
allisdo01,Doug,Allison,Doug Allison,1871,1883,10,318,1407,236,381,43,10,2,140,5,2,22,40,0,0,0,0,0,0.27079,0.28202,0.31983,450,Catcher,0,0,
alexama02,Manny,Alexander,Manny Alexander,1992,2006,11,594,1271,166,293,50,12,15,115,37,10,86,276,7,7,19,4,17,0.23053,0.28216,0.32415,412,Shortstop,0,0,
russejo02,John,Russell,John Russell,1984,1993,10,448,1087,113,245,50,3,34,129,3,3,84,355,7,6,2,10,26,0.22539,0.28222,0.37075,403,Catcher,0,0,
farreja02,Jack,Farrell,Jack Farrell,1879,1889,11,884,3613,584,877,148,55,23,370,87,0,197,205,0,5,0,0,0,0.24273,0.28283,0.33324,1204,SecondBase,0,0,
veryzto01,Tom,Veryzer,Tom Veryzer,1973,1984,12,996,2848,250,687,84,12,14,231,9,23,143,329,8,33,49,25,62,0.24122,0.28304,0.29389,837,Shortstop,0,0,
mcgeami01,Mike,McGeary,Mike McGeary,1871,1882,11,547,2481,484,684,56,13,0,236,65,24,26,60,0,0,0,0,0,0.2757,0.28321,0.30875,766,SecondBase,0,0,
moranpa01,Pat,Moran,Pat Moran,1901,1914,14,818,2634,198,618,102,24,18,262,55,0,142,36,0,37,51,0,0,0.23462,0.28333,0.31207,822,Catcher,0,0,
foliti01,Tim,Foli,Tim Foli,1970,1985,16,1696,6047,576,1515,241,20,25,501,81,55,265,399,29,35,169,57,119,0.25054,0.28342,0.30941,1871,Shortstop,0,0,
roofph01,Phil,Roof,Phil Roof,1961,1977,15,857,2151,190,463,69,13,43,210,11,10,184,504,18,23,40,6,68,0.21525,0.28342,0.31939,687,Catcher,0,0,
stanaos01,Oscar,Stanage,Oscar Stanage,1906,1925,14,1096,3503,248,819,123,34,8,321,30,2,219,268,0,25,98,0,0,0.2338,0.28369,0.29518,1034,Catcher,0,0,
martibu01,Buck,Martinez,Buck Martinez,1969,1986,17,1049,2743,245,618,128,10,58,321,5,10,230,419,5,8,56,35,59,0.2253,0.28382,0.34269,940,Catcher,0,0,
esterdu01,Dude,Esterbrook,Dude Esterbrook,1880,1891,11,701,2837,387,741,120,34,6,210,55,0,70,129,0,20,0,0,0,0.26119,0.28391,0.3338,947,ThirdBase,0,0,
peterjo01,John,Peters,John Peters,1874,1884,11,615,2695,372,748,92,12,3,249,14,8,24,77,0,0,0,0,0,0.27755,0.28393,0.32393,873,Shortstop,0,0,
barajro01,Rod,Barajas,Rod Barajas,1999,2012,13,1010,3139,367,746,176,1,125,449,2,2,178,569,26,39,28,35,57,0.23766,0.28399,0.41383,1299,Catcher,0,0,
staintu01,Tuck,Stainback,Tuck Stainback,1934,1946,13,817,2261,284,585,90,14,17,204,27,12,64,213,0,16,42,0,25,0.25874,0.28407,0.33348,754,Outfield,0,0,
donneji01,Jim,Donnelly,Jim Donnelly,1884,1898,11,660,2411,324,552,57,28,2,237,173,0,170,144,0,16,24,0,0,0.22895,0.28417,0.27831,671,ThirdBase,0,0,
tysonmi01,Mike,Tyson,Mike Tyson,1972,1981,10,1017,2959,281,714,118,28,27,269,23,18,175,411,56,14,30,22,70,0.2413,0.28486,0.32748,969,SecondBase,0,0,
whitnar01,Art,Whitney,Art Whitney,1880,1891,11,978,3681,475,820,89,32,6,349,67,0,302,173,0,18,0,0,0,0.22277,0.28493,0.26922,991,ThirdBase,0,0,
griffal01,Alfredo,Griffin,Alfredo Griffin,1976,1993,18,1962,6780,759,1688,245,78,24,527,192,134,338,664,37,25,136,51,86,0.24897,0.2851,0.31873,2161,Shortstop,1,0,
theveto01,Tommy,Thevenow,Tommy Thevenow,1924,1938,15,1229,4164,380,1030,124,32,2,456,23,3,210,222,0,11,99,0,52,0.24736,0.28529,0.29395,1224,Shortstop,0,0,
kendafr01,Fred,Kendall,Fred Kendall,1969,1980,12,877,2576,170,603,86,11,31,244,5,5,189,240,29,6,27,25,83,0.23408,0.28541,0.31211,804,Catcher,0,0,
popovpa01,Paul,Popovich,Paul Popovich,1964,1975,11,682,1732,176,403,42,9,14,134,4,10,127,151,14,8,25,17,38,0.23268,0.28556,0.29157,505,SecondBase,0,0,
garciki01,Kiko,Garcia,Kiko Garcia,1976,1985,10,619,1470,162,351,56,16,12,112,34,22,95,285,7,4,20,6,48,0.23878,0.28571,0.32313,475,Shortstop,0,0,
princto01,Tom,Prince,Tom Prince,1987,2003,17,519,1190,113,248,66,4,24,140,9,8,105,252,6,29,21,12,36,0.2084,0.28593,0.33109,394,Catcher,0,0,
auerbri01,Rick,Auerbach,Rick Auerbach,1971,1981,11,624,1407,167,309,56,5,9,86,36,21,127,198,10,6,22,5,36,0.21962,0.28608,0.28571,402,Shortstop,0,0,
molinjo01,Jose,Molina,Jose Molina,1999,2014,12,666,1787,183,430,92,3,29,163,12,5,98,398,2,20,46,10,50,0.24063,0.28616,0.34415,615,Catcher,0,0,
sakatle01,Lenn,Sakata,Lenn Sakata,1977,1987,11,564,1289,163,296,46,4,25,109,30,17,97,158,5,8,22,7,33,0.22964,0.28622,0.32971,425,SecondBase,0,0,
greento02,Todd,Greene,Todd Greene,1996,2006,11,536,1573,181,397,82,3,71,217,5,4,67,332,8,10,1,6,40,0.25238,0.28623,0.44374,698,Catcher,0,0,
roberda06,Dave,Roberts,Dave Roberts,1972,1982,10,709,2017,194,483,77,7,49,208,27,8,128,361,22,8,27,9,36,0.23946,0.28631,0.35746,721,ThirdBase,0,0,
wilkecu01,Curt,Wilkerson,Curt Wilkerson,1983,1993,11,972,2452,272,600,78,23,8,179,81,43,138,403,8,12,32,17,39,0.2447,0.28637,0.30506,748,Shortstop,0,0,
mulvejo01,Joe,Mulvey,Joe Mulvey,1883,1895,12,987,4063,598,1059,157,70,29,532,147,0,134,257,0,15,1,0,0,0.26064,0.2868,0.35516,1443,ThirdBase,0,0,
smithpo01,Pop,Smith,Pop Smith,1880,1891,12,1112,4238,643,941,141,87,24,358,169,0,325,345,0,60,0,0,0,0.22204,0.28683,0.31336,1328,SecondBase,0,0,
bartobo01,Bob,Barton,Bob Barton,1965,1974,10,393,1049,54,237,31,3,9,66,3,6,87,168,18,5,6,6,33,0.22593,0.28684,0.28694,301,Catcher,0,0,
dennyje01,Jerry,Denny,Jerry Denny,1881,1894,13,1237,4946,714,1286,238,76,74,667,130,0,173,602,0,15,0,0,0,0.26001,0.28711,0.38374,1898,ThirdBase,0,0,
murphmo01,Morgan,Murphy,Morgan Murphy,1890,1901,11,566,1967,247,443,56,12,10,227,53,0,157,237,0,14,16,0,0,0.22522,0.28718,0.28114,553,Catcher,0,0,
armasto01,Tony,Armas,Tony Armas,1976,1989,14,1432,5164,614,1302,204,39,251,815,18,20,260,1201,37,15,11,52,149,0.25213,0.2872,0.45256,2337,Outfield,0,0,
bowerfr01,Frank,Bowerman,Frank Bowerman,1895,1909,15,1045,3401,343,852,102,38,13,392,81,0,129,0,0,47,71,0,0,0.25051,0.28739,0.31432,1069,Catcher,0,0,
guilloz01,Ozzie,Guillen,Ozzie Guillen,1985,2000,16,1993,6686,773,1764,275,69,28,619,169,108,239,511,25,7,141,60,114,0.26383,0.28747,0.33817,2261,Shortstop,1,0,
eggleda01,Dave,Eggler,Dave Eggler,1871,1885,11,576,2546,491,698,85,31,0,242,47,20,48,162,0,0,0,0,0,0.27416,0.28759,0.33189,845,Outfield,0,0,
moellch01,Chad,Moeller,Chad Moeller,2000,2010,11,501,1392,146,315,74,7,29,132,2,4,108,331,18,15,16,8,51,0.22629,0.28759,0.35201,490,Catcher,0,0,
beaucji01,Jim,Beauchamp,Jim Beauchamp,1963,1973,10,393,661,79,153,18,4,14,90,6,5,54,150,6,3,0,12,11,0.23147,0.28767,0.33434,221,FirstBase,0,0,
bordepa01,Pat,Borders,Pat Borders,1988,2005,17,1099,3282,289,831,168,12,69,346,9,14,155,557,13,12,31,19,94,0.2532,0.28777,0.37477,1230,Catcher,0,0,
lavando01,Doc,Lavan,Doc Lavan,1913,1924,12,1163,3891,338,954,134,45,7,377,71,56,209,376,0,24,141,0,0,0.24518,0.28783,0.30815,1199,Shortstop,0,0,
miksied01,Eddie,Miksis,Eddie Miksis,1944,1958,14,1042,3053,383,722,95,17,44,228,52,22,215,313,6,6,62,2,74,0.23649,0.28785,0.32198,983,SecondBase,0,0,
felizpe01,Pedro,Feliz,Pedro Feliz,2000,2010,11,1302,4254,487,1065,209,25,140,598,13,12,230,663,18,10,11,39,124,0.25035,0.28789,0.40997,1744,ThirdBase,0,0,
archeji01,Jimmy,Archer,Jimmy Archer,1904,1918,12,847,2646,246,660,106,34,16,296,36,6,124,241,0,19,93,0,0,0.24943,0.28792,0.33333,882,Catcher,0,0,
berryda01,Damon,Berryhill,Damon Berryhill,1987,1997,10,683,2030,175,488,106,6,47,257,3,6,139,409,23,6,10,23,53,0.24039,0.28799,0.36798,747,Catcher,0,0,
corkhpo01,Pop,Corkhill,Pop Corkhill,1883,1892,10,1086,4404,650,1120,110,80,31,631,137,0,174,80,0,36,0,0,0,0.25431,0.28825,0.33674,1483,Outfield,0,0,
michage01,Gene,Michael,Gene Michael,1966,1975,10,973,2806,249,642,86,12,15,226,22,18,234,421,18,8,30,17,73,0.2288,0.28842,0.28403,797,Shortstop,0,0,
difelmi01,Mike,Difelice,Mike Difelice,1996,2008,13,550,1558,145,368,83,9,28,167,3,2,101,334,3,19,22,14,51,0.2362,0.28842,0.35494,553,Catcher,0,0,
karkoro01,Ron,Karkovice,Ron Karkovice,1986,1997,12,939,2597,336,574,120,6,96,335,24,14,233,749,8,26,65,27,39,0.22102,0.28894,0.38275,994,Catcher,0,0,
smithge01,Germany,Smith,Germany Smith,1884,1898,15,1710,6552,907,1592,251,94,47,797,235,0,408,288,0,16,19,0,0,0.24298,0.28899,0.3315,2172,Shortstop,0,0,
isbelfr01,Frank,Isbell,Frank Isbell,1898,1909,10,1119,4219,501,1056,158,62,13,455,253,0,190,0,0,41,202,0,0,0.2503,0.28921,0.32638,1377,FirstBase,0,0,
marzajo01,John,Marzano,John Marzano,1987,1998,10,301,794,79,191,45,2,11,72,0,2,39,138,1,18,14,6,17,0.24055,0.28938,0.34383,273,Catcher,0,0,
corcoto01,Tommy,Corcoran,Tommy Corcoran,1890,1907,18,2200,8804,1184,2252,289,155,34,1135,387,0,382,205,0,35,147,0,0,0.25579,0.28945,0.33542,2953,Shortstop,0,0,
gibbsja01,Jake,Gibbs,Jake Gibbs,1962,1971,10,538,1639,157,382,53,8,25,146,28,22,120,231,19,15,9,12,32,0.23307,0.28947,0.32093,526,Catcher,0,0,
alomasa01,Sandy,Alomar,Sandy Alomar,1964,1978,15,1481,4760,558,1168,126,19,13,282,227,80,302,482,17,3,77,18,58,0.24538,0.28979,0.28803,1371,SecondBase,0,0,
reitzke01,Ken,Reitz,Ken Reitz,1972,1982,11,1344,4777,366,1243,243,12,68,548,10,14,184,518,47,35,34,49,157,0.26021,0.28979,0.3588,1714,ThirdBase,1,0,
